id,album,title,score,content
1,4,The Killer Count Just Keeps Rising,0.88,When I first threw this on I really didnt know what to expect. Shortly there after I was very pleased to hear some great metal. Hailing from Argentina| this band on a whole seems to have very proficient| and just cool members/ musicians that are quite talented. There are many| many different musical directions on this album| and I wouldnt exactly know as to what to classify them as simply (well other than some killer metal tunes). There are traditional thrash riffs| almost heavy metal riffs| palm muted jumpy rythm type riffs| speed picked arpeggios| and lots of other little things you can pick up on. The bass sound is also another fine example why this bands kicks as much ass as they do. Maintaining a very clean| and deep tone| with most parts not haveing any distortion on the bass I can really get into this since it is so well done. A strong originality (or basically a unique band sound) pummels you into a creative mesh of late 80's early| 90's influenced true metal.The vocals vary from typical black metal screams| to death backing growls| to cool hatefull voices| and clean harmonies in the back ground. A wide| and well arranged variety| keeping pace with what the rest of the album on a whole displays| it has to offer the listener a sadisitic (painfull? I dont know cause I cant read the lyrics) raw element other than the badass guitar playing. There are alot (this isnt breaking records| but really they got some talent) of riffs on here| and alot of those really remind of the band Death. With that said| there are also many parts that sound very original and unlike the previously stated similiar artist| but probably a big influence| as I would guess King Diamond and Carcass would fall into that category for them. I'd also like to note that the intro in the 3rd song is very remniscent to a Maiden lead| but than breaking into an old school thrash sound shortly there after going into a Black thrash sound. The break down in the 5th song also really stands out thanks to a killer bass riff that just projects the guitar chords| which are played over it| right into your head banging fucking skull till you trash to death and breathe no more (there should be a warning).These songs on here have many different aspects| and are very well written (I must sound like a broken record| but I cant state that point enough cause its very true). One reason I really like this album is due to the variety| and sheer number| of all the riffs| and if that wasnt enough the harmonies and solos over them are total head banging true metal.I highly recommend this to Thrash| Death| and fans of heavier progressive metal. This is a killer release. Get it. NOW!!!
2,5,A gem of heterogeneous death metal...,0.96,"Several years ago I bought from a band member| the band’s frontman Alejandro I think| all the albums that he had available for sale at that time and among them| sent me the last CD of Genesis & Horror. It was a pretty fortunate coincidence| since I heard them all and this seemed the best. Years have passed since then and I still hold that view.The album opens with an evocative intro by acoustic guitars and flutes| very successful| which after one minute and half ends and rush quickly to what will bring us this entire album: sort of progressive death metal with hints of black metal and even some brief acoustic and/or atmospheric parts. As noted in that definition| the music is very eclectic| hard to fit in a single genre| but at least we can still mention influences of Opeth| Death| and perhaps a little Emperor in some cuts between riffs. I am not a scholar in death metal; it’s a genre that I usually step aside (and despise)| so it is likely that here are some other names that escape me. However| here we find double pedal bass drums| guitars and basses played in tremolo picking| but never saturating and inserting mid-paced and/or atmospheric parts here and there. What is the most attracting of all this it’s that the mix is very balanced and very well done| to the point that those possible influences of the band melt together in a new unity and you could safely say at the end of the CD that the band got their own unique sound.The songs ""Agonico Order"" and ""El arte de ser decadencia"" acquired the status of classics in my book. They’re death metal with melodic parts and memorable atmospheric pieces with acoustic guitar chords and hammering double pedal bass drums. Programmed drums| but except in some minor parts it goes totally unnoticeable.The voice is quite good| in my opinion closer to the field of black metal than the typical death metal guttural scream. One might note that would be half way between Abbath and Ihsahn: certain monochromatic vein in the singing with momentary (few) more low pieces. The lyrics are clearly understandable for spanish speaking metalheads which would be a bad point with at least 80% of the death metal bands (whose lyrics are often silly| tautological and / or sort of teenager) but not here with 1917. The lyrics have varied images and resources as they speak of nihilism| anger and disappointment (with surreptitious social and cultural criticism).In short: a great job of death / black metal surprisingly mixed in a successful and evocative way; my personal favourite full length of the band and totally recommendable."
3,8,Fantasic| if mostly for its influences,0.83,What a wonderful release this is. ‘Vox Fatum’ is a real mix of styles that complement each other to the fullest| one of those releases that acknowledges all its musical influences without compromising its overall sense of direction. Certain moments display the heavy groove and thump of a Finnish death metal record| whilst others adopt the intricate weaving and melody of ‘God Was Created’ era Vehemence| added to the over-arching energy and grit of early Morbid Angel combine to form an album that is not only well rounded but feels familiar in its musical concept and content.Oddly| though| if I were asked to explain why I enjoy this CD so much| my reasons prove to be quite elusive| as I sometimes struggled to differentiate between 1917 and the bands that they take influence from. Is it as simple as “I enjoy ‘Vox Fatum’ because I also enjoy Morbid Angel”? Well| no| not quite| as this would do a disservice to 1917’s song writing ability| but at the same time the influence of such groups feels so present to me throughout this album that failure to recognise it would be to ignore a huge element in 1917’s identity as a band. I mean| there are many riffs on this record that are not only styled around Morbid Angel| but it feels slightly weird that they haven’t already been written by Morbid Angel themselves| to the extent that I fail to understand how the intro riff to ‘Legado Sombrio’ is somehow NOT included in ‘Domination’. HOW is ‘La Iniquidad Penitente Pt.II’ NOT somewhere on ‘Altars of Madness’? That aside| the songs here are fantastic| all of them| each bringing a different feel to the album. Aforementioned opener ‘Legado Sombrio’ is a track that happily serves as the perfect metaphor for the entire album; fast in some parts| dark and groovy in others| complete with melodic passages and impassioned| snarled vocals. ‘Trofeos de Honor’ places more emphasis on groove| ‘Sobrevivir Para el Dolor’ is more progressive in the vein of later Akercocke| while ‘Crepusculo de los Hombres’ reverts right back to the thrashier side of Morbid Angel and| oddly| a generous and welcome moment of Kreator. I would normally talk more about the actual genre of metal the band plays and how successful they are in delivering it| but ‘Vox Fatum’ genuinely does feel more of an endorsement of the music of other bands. By saying that| I hope I haven’t managed to dissuade people from going out and buying this CD| because that I what I would sincerely recommend doing. Being influenced by the aforementioned bands is a very good thing| and such influence has never been better executed than on this album. If you are not a fan of later Morbid Angel| then ‘Vox Fatum’ should go some way to serve as a worthy extension of their earlier work.
4,45,A rare| lost hidden gem,0.8,"Picture this: crushing| brutal death metal| with all the hallmarks of the genre. Crushing| brutal grooves. Extreme vocals. Double-bass drumming.Now mix it with slap-happy funk basslines and '70s-style groove sections that would make Bootsy Collins proud. Add a dash of ""yo yo boy"" wigger lyrics on top and mix it all together.On paper| this should be a catastrophe. Instead| somehow| it all comes together and provides an extreme metal listening experience unlike any other band I've discovered... and all this from some totally unknown band out of New Mexico that doesn't appear to have done anything before or after this record. The funk and metal sections are largely separate| and switch back and forth between the two in a sometimes jarring juxtaposition| but it's precisely these sudden gear shifts that keep the record from plodding. It's certainly a different take on the formula| and at under 30 minutes| the record doesn't over-stay its welcome.If you're looking for a pure| unadulterated death metal record| there are plenty of those out there. If you've been listening to death metal for twenty years and your ears are desperate for something different... seek out this CD. I found mine at random in a used record shop and bought it for the princely sum of $2 based on the logo and cover alone. Its unique qualities mean that it's a CD I'll reach for long after the latest Immolation clone has lost all interest for me... even if I really could do without the ""yo yo muthafucka""-isms scattered throughout!"
5,54,Pure| but flayed and covered in soot,0.92,"Abhordium's When Depravity Incarnates is an extremely positive surprise in virtually every respect. Death metal in general seems like a genre flogged to death by gazillions of more or less crappy bands in the recent years| and this particular album brings were little innovation to the table. It has not been released by a label| and in a world deluged by independent releases of questionable quality| creating a full-length indie release is both financial gambling and| too often| an artificial support for the musicians' egos.However| in this case| everything seems to click to place in a surprising way| and the album is a very enjoyable piece of controlled chaos| and manages to renew the traditional genre| but without turning to commercial crap or disrespecting the classic rules of death metal. Even the packaging| a very nice looking digipack| with creepily innovative band member pictures and overall well-designed looks| promises something that deviates from the flow of mediocre works in the genre.The music on When Depravity Incarnates is almost pure death metal| with a traditional but modernized sound| dashes of brutality| and the chaotic essence of the genre well under control. The riffing is extremely well executed| rapid| and sounds somewhat like a modernized| sped-up Altars of Madness. And that is what death metal should be about. The songs are logical and flow extremely well| but still retain the vital chaotic battering whirlwind of true death metal| with absolutely no core influence whatsoever; the songs are carried mostly by the wonderful guitar-work| and that's exactly how it should be. Rule #1 of death metal: riffs before everything!The vocals are basic death growls| the drumming is almost exceptionally faithful to the conventions of the genre| and the bass serves the greater good as it should. There's a scent of brutal death metal in the air| but that's mostly because the album takes the traditional death metal to the extreme| and has a brutality of the original kind| without the annoying characteristics of the modern run-of-the-mill brutal death. Some of the rapid riffing also carries a mildly blackened feel to it| as do the vocals and lyrics on the last track| ""Abyss Portal""| even if the music stays true to death metal.Production-wise the album is close to perfect. The sound is thick| but not Hi-Fi| and just the drums get a bit buried by the combined efforts of the guitars and vocals occasionally. However| even the production respects the original definition of death metal| and there's simply nothing to whine about… this is a very good album. For an independent release| When Depravity Incarnates is a very professional and credible package in every way. Most death metal albums released by labels nowadays is much less enjoyable than Abhordium on this fine piece of work| and even if there's nothing new on the album| the extreme traditionalism and purity of death metal is easily enough to make this a worthwhile purchase.And finally| the band displayed some original innovation in their marketing efforts. Going around a festival area and selling the album out of a backpack to random metalheads drinking beer on the lawn is a traditional method to spread independent releases. However| the simple addition of an MP3 player and quality headphones for some quick sampling was quite enough to convince yours truly of the bargain.When Depravity Incarnates is a worthy purchase for anyone into traditional death metal taken into one kind of extreme. It's also a schoolbook example of how to release an independent album the right way. Listen and learn!"
6,62,Not an abomination by any means,0.65,Yep| you read it right| this is Abominattion (two 't's). Not to be confused with the US thrashers of yore who lucked out with the correct spelling; this is the cult Brazilian four piece of noise mongers. 'Doutrine of False Martyr' is the band's 2nd effort| which is re-issued here with two bonus tracks tacked on from their various demos (when they went under the moniker 'Anesthesia'). When this album was originally released in 2001| it was only available on a small Brazilian label and was limited to 500 copies| hence the re-issue on Animate Records of Germany. Starting off the album is the nicely clichéd sample of gusting winds| explosions and chattering birds that eventually gives way to a massive kick into overdrive from the off. Ultra-fast hammered-on scale notes played in triplets| almost exactly like their country mates Krisiun blasting through your speakers at a rate of knots. Krisiun is definitely the best comparison sound-wise| with hints of similarly Brazilian domiciled Rebaellion in the lightning speed guitar solos| and (of course) a healthy dose of good old Morbid Angel worship when the tempo does occasionally decrease in the slower octave chord guitar lines of various tracks on offer here. Although there is hardly any let up in the speed of the guitars| the drums are not all blast-ridden| allowing the catchy rhythms and clarity of guitar playing to shine through and the music as a whole is given plenty of much needed breathing space as a result. It's not a secret| but when you play this style of metal| you need to be technically proficient with your instruments| or it will show glaringly on plastic (luckily these guys are pretty decent at what they do). My favourite track has to be the title track of the album| where they notably intersperse open string tremolo dive bombs a la Morbid Angel| seasoning the chaos nicely and adding depth when needed. This helps to stop the proceedings from just becoming a full on 'washing machine' blast-fest. Also notable is the near two minute intro to the track 'The Unholy March'| which consists of what sounds like a singular guitar doing super speedy runs with a harmoniser on. While nothing jaw dropping technically| it's still fairly impressive (it's the sort of thing you see old men doing in guitar shops trying to show off!) and it leads into an excellent Morbid Angel styled instrumental| complete with booming drums and low tuned guitars. All in all| while they won't be stealing any crowns just yet with this re-release| they are a pretty respectable band who you could do a lot worse than checking out in my estimations Originally written for www.metalcrypt.com
7,62,Repetitive Background Watery Death,0.5,"Horrific spelling skills aside| Abominattion's album ""Doutrine (?) of (a) False Martyr"" is a vicious Brazillian death metal attack| but unfortunately it lacks the variation that would have made a killer disc.Instead of exploring slower tempos| different sounds| or anything other than fast Fast FAST balls to the wall DM| the band has released an album destined to immediately sink into the pool of generic death metal. Yes| it is easiest to think of the death metal genre as a pool| or maybe a big dirty lake with zombies in it like in that Italian horror movie. Individual bands are like objects thrown into the lake - if they are absolute originators (and very talented)| they will float| and other bands will desparately try to cling to these life rafts to avoid the watery depths. Pretty soon you have a style that comes close to being a subgenre. Soon too many bands jump on board| and the whole thing starts to submerge. Either the hangers-on drown| and a few bands at the center survive| or the whole oversaturated thing enjoys a few lungfulls of water before their existence ends.So| what was the point of that? Got me. Oh yeah| Abominattion is another Morbid Angel soundalike| minus the originality or the willingness to experiment that has made MA so enduring. Every once in a while this disk completely kicks ass| like ""Reigning in the Impure Blood."" But the ass is only kicked by slowing down the guitars and playing sludgy riffs while the double bass pumps away in the background| ala (guess who?) Morbid Angel. Some tracks remind me of Cannibal Corpse too| but not in a good way.So while you can sit and listen to this| don't be too surprised if you look up and two or three tracks have passed without you noticing. Actually| the last two bonus tracks on the Animate Records release are pretty cool. It shows the band being a little more wild and experimental - and while there are a few flaws (vocal| drums| production) - it shows a far more creative band. I wish they had stuck with this style. But they didn't| so I guess it's a combination to Davey Jones' locker for these metalheads."
8,65,Good For a Debut,0.76,For a debut album| this is surprisingly good. The simple fact of being a debut has a tendency to lower my expectations| but these songs generally hold up pretty well. Purity also proves wrong some of my initial assumptions about the band's progression. The actual enjoyment of the music itself is derived from the faster portions which| thankfully| are frequent.Starting with some fringe elements| the cover is awful. A fake-looking woman splattered is cheesy in a bad way although Aborted never really seemed to stumble upon awesome covers| and this isn't their worst. Like a fossil in the desert| their aforementioned musical development is shown to be much different than I had envisioned prior. With Goremageddon and it's melodic leads as my initial exposure to Aborted| my imagined starting point for this band was closer to that of Impaled. This is most certainly not like Impaled| and it isn't even much like Carcass. No| Aborted here is much closer to brutal death metal bands such as Skinless| albeit with a less crushing sound. There isn't anything innately wrong with this| but it was unexpected to say the least. Lastly| the intros are longer and more frequent than would be ideal. This is already barely half an hour| but a full five or so minutes is composed of filler that isn't all that interesting.Production on Purity is not as good as it should be. Debuts frequently have this problem| and it's not that bad| but the music would have been better served with slightly clearer production. The most obvious instances are when the songs open up with a fast riff| and they are cloudy to start with. Particularly compared to their most recent album| Sven is a much| much smaller piece of the sound. Guitars are definitely up-front with everything else trailing. Mileage will vary on all this| though I do believe that Sven's place in the mix is a plus of the album.Many point to Sven's vocals as maybe the strongest aspect of the band| but I'm not sure about that. His voice alternates between a deep growl that almost sounds like he's coughing and some sharp screeches that bring to mind a harsher Doty. Occasionally| some Walker-esque| puking vocals are thrown in though they're not sustained for as long as was heard on Reek or Symphonies. Sven convey's their message well| but this talk of him as a really great vocalist is excessive. The lyrics present are somewhat simpler than would be read later on. Act of Supremacy| the first real track| is closer to what Barnes wrote for Cannibal Corpse than it is to what Walker penned on the early Carcass albums. The usual Hellraiser nod is to be found on the very next song| The Lament Configuration. Lament also contains the line “reek of putrefaction|” and is the most overt of several Carcass references.Purity is largely fast| again where the quality is at| but parts of the songs do slow down and often with a breakdown. These breakdowns aren't too frequent| but they occur often enough to bring the music down somewhat. Other than these mild annoyances| the guitar playing is very satisfying. Regardless of pace| Niek and Herre enjoy tossing in random squeals| and their tremolo riffs are nearly always good. The riffing on display is pretty atonal| but their dissonance is delicious. Atonality as the rule is very different from many other Aborted albums| yet this is the style that they started with. Neither of these guys were there by the third album| so the change can be understood| but it's interesting nonetheless.This is a solid| though surprising| start to Belgium's finest. Many aspects have carried through| such as the breakdowns and Hellraiser homages| while others have been supplanted| their playing is less atonal. The Purity of Perversion hasn't been reviewed yet| which is a little odd. This is a fair release from a band that is pretty well-known and liked. A slightly clearer sound| a couple more good songs| and fewer breakdowns are all this album would need to be a very good release. A bigger fan of breakdowns might even feel that this is already very good. Any Aborted fan should have this| and a death metal fan should at least hear it.
9,66,Unrelenting fucking bruality,0.9,Aborted are one of the bands that got me into brutal death metal. This album and Goremageddon are some of their greatest works for sure. But I guess I am in the minority when I say that I like this album better than Goremageddon. Yes| yes I know Goremageddon had its moments| but it did not have the pounding brutality that this album has. I dare even say that the production is weaker as well. On this album you will hear sickening vocals| pounding drums| prominent bass and destructive riffing. The artwork is a bit odd looking to me| but the music absolutely makes up for it. The first thing that I noticed when I first heard Aborted was Sven. The guy just fucking nails it every time (except for that album of their's that we don't mention around here). He doesn't sound like anyone else| and nobody else sounds like him. He yells and growls throughout this album| tearing his throat out and delivering the brutality as a verbal crowbar assault. I don't think that any of his future (or past| seeing as how they had one album before this one) performances will ever match this one. The guitars and bass are ridiculous. The riffing is well done and| even though it generally follows the guitars the whole time| the bass playing is also well done. My favorite song| To Roast and Grind| truly displays what these guys are capable of when it comes to downright kicking you in the ass with ruthlessness. The drumming is also excellent| despite not being terribly remarkable. The guy gets the job done and he knows what he is doing. Unlike many brutal death metal albums that suffer from trash-can drum syndrome| the drum tone on this album is sufficient and isn't weak or thin by any means. While this isn't my favorite brutal death metal album| it is not a bad album. It isn't even a good album| its excellent. The guys over in Belgium clearly knew what they were doing on this one and it shows for sure. Their latest album tries to recapture some of their old insanity| but you know what they say| you can't capture lightning twice.
10,66,Just tapping the potential,0.75,My introduction to this band was Nailed Through Her Cunt| which is track 2 on this release. However| I didn't start with this album. I got Goremageddon instead. It was only after becoming familiar with the three Aborted albums that followed this that I gave it a try. While Nailed Through Her Cunt is an outstanding brutal death metal song| the rest of it isn't quite up to scratch. Don't get me wrong| this is still a great Aborted album| but the band would do so much better later.I'll start with the vocals. Svencho is as good as here as he's ever been. Providing incomprehensible gurgles and grunts and effortlessly switching to higher shouted vocals easily. He uses both styles effectively to show more of a personality and prevent the music from getting monotonous. A lot of brutal death metal vocalists usually use one continous growl and gets very dull and has no character.The riffs are almost thrashy and Slayer influences| while the band also resort to slow breakdowns. These breakdowns are technical and well played and are only needed when the music needs to slow down and take a break from the fast punishing riffs.Drumwork is blazing fast with lots of blast beats and technical fills. The drums keep the music going at the right pace| as drums are supposed to.The production is quite raw| but not so much that it becomes unlistenable. Everything is clear (minus the bass| which can be only just heard through decent headphones) but it's quite fuzzy| but I don't let it bother me.The only real flaw is the memorability factor. Minus Nailed Through Her Cunt| not much of it outstanding. Granted this was only their second album| but there was potential to do much better| which they did with follow up effort Goremageddon. Well worth getting if you're a fan of the band| but if not| get the next 3 (Goremageddon| Archaic Abattoir| Slaughter and Apparatus) first.
