album	artist	genre	release_date	critic	score	body
Don't Panic	All Time Low	Pop/Rock	2012-10-09 00:00:00	Kerrang!	74.0	"While For Baltimore proves they can still write a grade A banger when they put their mind to it, too many songs are destined to have ""must try harder"" stamped on their report card. [13 Oct 2012, p.52]"
Fear and Saturday Night	Ryan Bingham	Country	2015-01-20 00:00:00	Uncut	70.0	"There's nothing fake about the purgatorial narrative of songs such as ""Nobody Knows My Trouble"" and ""My Diamond Is Too Rough."" [Feb 2015, p.74]"
The Way I'm Livin'	Lee Ann Womack	Country	2014-09-23 00:00:00	Q Magazine	84.0	All life's disastrous lows are here on a career-high album. [Nov 2014, p.121]
Doris	Earl Sweatshirt	Rap	2013-08-20 00:00:00	Pitchfork	82.0	With Doris, Odd Future’s Odysseus is finally back and chasing the ghosts out of his head.
Giraffe	Echoboy	Rock	2003-02-25 00:00:00	AllMusic	71.0	"Though Giraffe is definitely Echoboy's most immediate and cohesive work, it's not perfect: the album takes a misguided turn toward the dark and overwrought on songs like ""Lately Lonely"" and ""Wasted Spaces,"" both of which recall the harsher moments of Primal Scream's Evil Heat."
Weathervanes	Freelance Whales	Indie	2010-04-13 00:00:00	Q Magazine	68.0	"Fans of Owl City and The Postal Service will relish such good clean fun, quite literally when Dadone warbles, ""Don't let the bathwater get too high"" on Starring. [Oct 2010, p.107]"
Build a Rocket Boys!	Elbow	Pop/Rock	2011-04-12 00:00:00	Delusions of Adequacy	82.0	Whereas previous Elbow records set a mood, Build A Rocket Boys! may require a certain mood, and a few spins, before the lofty expectations are shed and you're left delighting in its radiance.
Ambivalence Avenue	Bibio	Indie	2009-06-23 00:00:00	Q Magazine	78.0	"His remarkable Warp debut follows a series of effective ""folktronica"" albums on the US independent Mush. [Jul 2009, p.117]"
Wavvves	Wavves	Indie	2009-03-17 00:00:00	PopMatters	68.0	There’s an energy coursing through this, and records like this, that is undeniable....But there’s also your standard fare. Several of the songs sound the same. There are a couple of atmospheric tunes that add no atmosphere.
Peachtree Road	Elton John	Rock	2004-11-09 00:00:00	MelD.	70.0	Classic. Songs filled with soul. Lyrics refreshing. My personal favorite Weight of the World. This is the type of CD that I liked better andClassic. Songs filled with soul. Lyrics refreshing. My personal favorite Weight of the World. This is the type of CD that I liked better and better each time I heard them again.&hellip;Full Review &raquo;
Heritage	College	Electronic	2013-09-17 00:00:00	musicOMH.com	63.0	It’s by no means perfect and it does feel slightly one-paced, but the layers of Heritage are undoubtedly worth unravelling.
White Chalk	PJ Harvey	Rock	2007-09-25 00:00:00	Paste Magazine	80.0	"Put in context, White Chalk serves her purposes, much as Bruce Springsteen’s ""Nebraska"" served his. On initial listen, the album is not a step forward, nor is it a step back, but rather a lateral move intended to leave breathing room for her next attack."
Tyrannosaurus Hives	The Hives	Rock	2004-07-20 00:00:00	Playlouder	78.0	Although pretty catchy, this album is a tad too monotonous.
JackInABox	Turin Brakes	Indie	2005-06-07 00:00:00	New Musical Express (NME)	62.0	Talk about a fall from grace. [4 Jun 2005, p.58]
Liquid Love	Shy Child	Indie	2010-03-15 00:00:00	The Guardian	70.0	It's unusual to find a band equally at home with electronic funk and soft rock who can produce an album that will delight fans of either.
The  Truth About Love	P!nk	Pop	2012-09-18 00:00:00	The Guardian	77.0	It's just a shame she gave album space to Mariah-slick motivational ballads such as The Great Escape, which detract from an otherwise fierce record.
The Monitor	Titus Andronicus	Indie	2010-03-09 00:00:00	Prefix Magazine	82.0	The fundamental difference between The Monitor and the group's debut, The Airing of Grievances, and the reason why the former shines less bright than the latter, is in the attitude.
Ones and Sixes	Low	Pop/Rock	2015-09-11 00:00:00	Consequence of Sound	78.0	It just needs to be a passionate, cathartic, connective emotional experience. For the most part, Ones and Sixes fits that bill.
In Search Of... [First Version]	N.E.R.D. [The Neptunes]	Rap	2001-08-06 00:00:00	Q Magazine	92.0	They retained their best ideas for themselves though, since their debut album is striking escape from mere genre. [Review of UK version]
Tarot Sport	Fuck Buttons	Rock	2009-10-20 00:00:00	The A.V. Club	84.0	For most of the songs amassed here, it still takes around 10 minutes to get the job done--threading those thick synthesizer blasts and all that skittering digital manna through a brick wall of guitar fuzz--but Fuck Buttons succeeds at turning its unpredictable epics into masterpieces of pacing and strange beauty.
July Flame	Laura Veirs	Indie	2010-01-12 00:00:00	musicOMH.com	81.0	Laura Veirs makes an excellent case for herself as one of the most under-recognised singer-songwriters working today and the album's summery soul lingers long after first listen.
Lux	Brian Eno	Electronic	2012-11-13 00:00:00	Paste Magazine	75.0	Sure, it's beautiful on its own, but without any visuals (that is unless you create your own), LUX meanders while the listener potentially zones in and out.
Live At The Olympia	R.E.M.	Rock	2009-10-27 00:00:00	The A.V. Club	74.0	Though it isn’t a concept album, Live At The Olympia does tell a story about the remarkable staying power of one of the best rock bands of the past 30 years.
